,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,4.06,75,0,4.63,CL,1624066728
1,Hasaki,35.7333,140.8333,21.27,84,100,4.81,JP,1624066831
2,Shirokiy,49.758,129.523,19.4,70,95,8.49,RU,1624066846
3,Puerto Escondido,15.85,-97.0667,26.46,57,90,0.0,MX,1624066846
4,Nikolskoye,59.7035,30.7861,17.94,80,0,2.29,RU,1624066805
5,Visby,57.6409,18.296,18.25,82,6,2.57,SE,1624066847
6,Pevek,69.7008,170.3133,0.39,98,100,1.38,RU,1624066761
7,Upernavik,72.7868,-56.1549,1.72,69,6,2.98,GL,1624066847
8,Piaçabuçu,-10.4056,-36.4344,24.48,71,76,4.92,BR,1624066774
9,Esperance,-33.8667,121.9,10.91,62,3,7.0,AU,1624066764
10,Pokhara,28.2333,83.9833,21.69,89,100,1.08,NP,1624066742
11,Camaná,-16.6228,-72.7111,17.53,90,23,3.74,PE,1624066848
12,Mar del Plata,-38.0023,-57.5575,7.29,54,75,1.34,AR,1624066630
13,Fortuna,40.5982,-124.1573,18.38,67,1,1.34,US,1624066796
14,Ushuaia,-54.8,-68.3,3.81,93,75,3.09,AR,1624066730
15,Tasiilaq,65.6145,-37.6368,5.09,70,1,2.06,GL,1624066729
16,Vila Velha,-20.3297,-40.2925,18.97,94,40,1.54,BR,1624066848
17,Port Hawkesbury,45.6169,-61.3485,14.38,78,77,1.34,CA,1624066849
18,Busselton,-33.65,115.3333,14.47,67,100,6.27,AU,1624066731
19,Mahébourg,-20.4081,57.7,20.14,88,40,0.51,MU,1624066849
20,Longyearbyen,78.2186,15.6401,3.91,70,75,9.77,SJ,1624066735
21,San Carlos,9.6612,-68.5827,23.0,96,99,0.9,VE,1624066850
22,Petropavlovsk-Kamchatskiy,53.0452,158.6483,12.33,62,75,1.0,RU,1624066850
23,Bambous Virieux,-20.3428,57.7575,20.12,88,40,0.51,MU,1624066773
24,Ambilobe,-13.2,49.05,19.19,91,71,1.29,MG,1624066850
25,May Pen,17.9645,-77.2451,28.56,79,43,1.52,JM,1624066851
26,Tuktoyaktuk,69.4541,-133.0374,16.0,41,40,6.69,CA,1624066740
27,Jamestown,42.097,-79.2353,23.62,73,90,6.17,US,1624066630
28,Samarai,-10.6167,150.6667,26.48,74,100,5.8,PG,1624066788
29,Mataura,-46.1927,168.8643,8.6,67,18,2.05,NZ,1624066736
30,Hilo,19.7297,-155.09,26.0,71,20,3.6,US,1624066756
